league_rank,entry_id,manager,team_name,overall_rank,season_points,gw_points
1,125,Sam Price,FPL Pricey (WGTA),6523,201,108
1,1890,FPL Toni,FPL Toni,6523,201,121
3,3333334,Sertalp Cay,Sertalp Çay (Solio Analytics),9553,200,129
4,120,Dan FPL Mate,Dan (FPL Mate),9839,199,150
4,1932,FPL Pig,FPL_Pig,9839,199,132
6,84298,Sujan Shah,Sujan (Planet FPL),13104,198,113
6,222160,FPL Brandon,FPL Brandon,13104,198,119
8,176749,Mark McGettigan,FPLGeneral (59th Minute pod),16015,197,115
9,8781,Calle Jonsson,FPL Calle,19708,196,134
10,344050,Nathan Bacon FC,Nathan Bacon FC FPL,22851,195,115
11,21,Francisco MW,FPL Fran (The FPL Script),26228,194,122
11,5133,BigMan Bakar,BigManBakar (FF Hub),26228,194,122
13,199,FPL Raptor,Ross (FPL Raptor),38083,192,112
13,3449,Niall Crossan,FPL Éire,38083,192,114
15,17739,Hamza Siddiqui,Hamza (FPL Pattern),44265,191,116
16,7241,Paul McFarlane,Paul (FPL Addict),50037,190,135
16,12949,Placido Antuan Zambrano,FPL Paz (All About FPL),50037,190,119
18,41,Andy LTFPL,Andy (Let's Talk FPL),57623,189,112
19,116170,Youtube: The English Aussie,FPL The English Aussie,65185,188,101
20,70,Abdul Rehman,Fpl_Salah (FF Hub),86599,186,119
20,4226,Sivaram Prasad,Siva (FPL Banger),86599,186,112
20,376201,FPL Dilemmas,fpldilemmas,86599,186,113
23,2913,Lee Bonfield,Lee (FPL Family),98784,185,111
24,1735,Joshua Scott,Josh (FPL Graduates),112355,184,126
24,61059,Matt Withers,FPl Matt,112355,184,112
26,16,Tom Johnson,Tom (FF Scout),126677,183,115
27,3054,Harry Daniels,FPL Harry,141593,182,108
27,117406,Jeppe Skov,FPL Physio,141593,182,112
27,194497,Dan (BlackWolf),BlackWolf (FPLUSA),141593,182,108
27,209763,Richard Clarke,Rich Clarke (FF Hub),141593,182,108
31,53517,Ben Crellin,Ben Crellin (FF Hub),172613,181,115
32,148,Rich D,Flapjack FPL,211464,179,112
32,2177,Utkarsh D,Zophar (FPL Wire),211464,179,108
32,5406,Tom L,FPL Tom,211464,179,119
32,16021,Tom Jones,FPL Plug,211464,179,127
36,362,Adrian I,FPL Olympian,231905,178,106
36,325538,Anshuman Deswal,Fpltips__ (Anshuman Deswal),231905,178,111
38,225,Thomas Hartnell,Tom (Golden Goal Fantasy Football),255722,177,111
38,3315,Pras United,Pras (The FPL Wire),255722,177,111
40,157,Adam Currier,Adam (Above Average FPL),280868,176,109
41,174,Jonas Sand Låbakk,Jonas (ASC_FPL),308472,175,128
42,850,FPL Pickle,FPL Pickle,338418,174,110
42,15764,Em - Ellia,Emma (Jumpthewave),338418,174,102
42,19233,Dan H,FPLFella,338418,174,104
45,4470,Martin Baker,Baker343 (Above Average),370271,173,108
45,31703,David (@DayvyFPL),David (Dayvy FPL),370271,173,105
45,129818,Adam Walsh,Walsh (FML FPL),370271,173,102
48,71,Luke Williams,Luke (Inspected Goals),404244,172,105
49,918,Nima Kafai,FPL Nima (FPL Meets),442465,171,106
49,327213,Angel Arshev,FPL MV,442465,171,108
51,15753,Seb Wassell,Seb Wassell (FF Scout),471176,171,111
52,739,Prem Tipster,FPL Prem Tipster,481842,170,107
52,16745,Rob Haul,Rob (FPL Haul),481842,170,103
52,19518,Shaad Shaikh,FPL Goat,481842,170,116
55,454,Tom C (WGTA),Tom (WGTA),525349,169,101
55,1600,Gustav Stenberg,FPL Architect,525349,169,109
55,2230,Ben Brown,Ben (FPL Graduates),525349,169,115
55,70063,Holly Shand,Holly Shand (FPL Show),525349,169,103
59,405,Ash FPLHints,Ash (FPL Hints),570762,168,117
59,3304,Marcello C,FPL Marcello,570762,168,106
61,298,Oscar -,Oscar (FPL Focal),618053,167,107
61,660,Joe Wood,FPL Joe,618053,167,120
61,22728,Tom Freeman,Tom (FPLCruyff74),618053,167,117
64,4282,Charlie Noakes,Charlie (FPL Meerkat),669925,166,123
65,11859,Leon Sim,Leon (FPL Consult),724567,165,99
66,42,Sean Jackson,Hibbo FPL (FFScout),783760,164,115
66,2977,Sam Bonfield,Sam (FPL Family),783760,164,108
68,2325,Andy North,Andy (FPLMode),845574,163,120
68,494355,Adam Wolff,FPL Rookie (FPL Updates & Tips),845574,163,95
70,19663,FPL Rockstar,FPL Rockstar,981251,161,113
71,15716,Alex Vollo,Alex Vollo,1029349,161,86
72,2472,Nick Turner -FPL JUiCE-,Nick (FPL Juice),1050638,161,100
73,5911,Mohamed Team,FPL Mo,1053358,160,108
74,6816,Pranil Sheth,Lateriser12 (FPL Wire),1213143,158,96
75,28410,Alon Shapiro,Alon (FML FPL),1297132,157,107
76,47742,Cim Diesel,FPL Cim,1383722,156,105
77,13162,James Glaze,FPL JimmyG,1474311,155,107
78,334289,-FPLUSA Brian,Brian (FPLUSA),1980790,150,99
79,1420249,Clayton Fernandes,Clayton (Planet FPL),2090418,149,99
80,17314,Muhammed Osama,FPL Osama,2320860,147,99
81,185594,Sam Chew,Sam (FPL Banger),2439660,146,88
82,5784,Andrew Martin,Andy (FPL Tactician),3075903,141,91
83,18135,David Hunter,David Hunter (Planet FPL),3345863,139,81
84,15489,Jian Batra,Jian Batra (FF Hub),3757988,136,71
85,2129,Midnight Mule,Midnight Mule FPL,3898676,135,86
85,36474,Haythem IlBanney,FPL Updates & Tips (FF Scout),3898676,135,80
87,1194,James Linden,James (Planet FPL),4462746,131,76
88,2157,Chai -,FPL_Chai (FFScout),7027324,111,70
